source_local,source_official,repo_commit,detector,n_local,n_official,n_aligned,missing_local,missing_official,columns_identical,max_abs_diff,mean_abs_diff,n_diff_gt_1e-12,identical
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,TranAD,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,AnomalyTransformer,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,OmniAnomaly,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,USAD,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Donut,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,TimesNet,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,FITS,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,OFA,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Lag-Llama,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,Chronos,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,TimesFM,350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,MOMENT (ZS),350,350,350,0,0,True,0.0,0.0,0,True
D:\CSIES\TSAD\Onelier\CDU_starter_kit\cdu_kit\uni_vuspr.csv,D:\CSIES\AI4Energy\others\TSB-AD\benchmark_exp\benchmark_eval_results\uni_mergedTable_VUS-PR.csv,8b363e350ae047a8115a594d1e9da64aae09b852,MOMENT (FT),350,350,350,0,0,True,0.0,0.0,0,True
